co_municipio,co_ibge,no_municipio,uf,ano,rede,saeb_matematica,saeb_lingua_portuguesa,saeb_padronizado,ideb,posição estado,ideb_meta,etapa
4119657,411965,Pitangueiras,PR,2023,Municipal,258.33,245.2,7.352196,7.3,,,Anos Iniciais
4200556,420055,Águas Frias,SC,2023,Municipal,258.88,243.84,7.337965,7.3,,,Anos Iniciais
4201604,420160,Arroio Trinta,SC,2023,Municipal,255.13,249.99,7.378219,7.3,,,Anos Iniciais
4204152,420415,Celso Ramos,SC,2023,Municipal,249.89,253.72,7.346037,7.3,,,Anos Iniciais
4207601,420760,Ipira,SC,2023,Municipal,260.62,244.71,7.38699,7.3,,,Anos Iniciais
4212403,421240,Pedras Grandes,SC,2023,Municipal,264.64,250.31,7.565525,7.3,,,Anos Iniciais
4213104,421310,Piratuba,SC,2023,Municipal,260.69,241.94,7.337962,7.3,,,Anos Iniciais
4304804,430480,Carlos Barbosa,RS,2023,Municipal,264.54,246.14,7.487799,7.3,,,Anos Iniciais
4306452,430645,Dois Lajeados,RS,2023,Municipal,253.7,253.51,7.414929,7.3,,,Anos Iniciais
4309605,430960,Horizontina,RS,2023,Municipal,261.38,238.15,7.282221,7.3,,,Anos Iniciais
4318440,431844,São Jorge,RS,2023,Municipal,256.14,244.33,7.294584,7.3,,,Anos Iniciais
4321469,432146,Tio Hugo,RS,2023,Municipal,260.93,243.54,7.371633,7.3,,,Anos Iniciais
4321626,432162,Travesseiro,RS,2023,Municipal,261.46,238.58,7.291566,7.3,,,Anos Iniciais
4322251,432225,Tupandi,RS,2023,Municipal,260.24,251.75,7.507738,7.3,,,Anos Iniciais
5203939,520393,Buriti de Goiás,GO,2023,Municipal,263.61,236.92,7.302414,7.3,,,Anos Iniciais
5204607,520460,Campestre de Goiás,GO,2023,Municipal,253.15,248.97,7.321887,7.3,,,Anos Iniciais
5207105,520710,Diorama,GO,2023,Municipal,257.01,243.61,7.298096,7.3,,,Anos Iniciais
5207600,520760,Fazenda Nova,GO,2023,Municipal,260.26,242.67,7.343028,7.3,,,Anos Iniciais
5210208,521020,Iporá,GO,2023,Municipal,258.11,246.44,7.370543,7.3,,,Anos Iniciais
3504404,350440,Avanhandava,SP,2023,Municipal,261.23,232.77,7.18154,7.2,52,,Anos Iniciais
3505500,350550,Barretos,SP,2023,Municipal,257.81,240.48,7.256455,7.2,53,,Anos Iniciais
3518008,351800,Guarani d'Oeste,SP,2023,Municipal,258.85,246.22,7.380666,7.2,54,,Anos Iniciais
3520707,352070,Indiaporã,SP,2023,Municipal,257.61,235.53,7.162638,7.2,55,,Anos Iniciais
3532702,353270,Nipoã,SP,2023,Municipal,260.96,231.92,7.160933,7.2,56,,Anos Iniciais
3535101,353510,Palmares Paulista,SP,2023,Municipal,256.85,240.44,7.237407,7.2,57,,Anos Iniciais
3536000,353600,Parapuã,SP,2023,Municipal,262.94,234.77,7.250537,7.2,58,,Anos Iniciais
3537404,353740,Pereira Barreto,SP,2023,Municipal,260.99,236.36,7.242232,7.2,59,,Anos Iniciais
3537701,353770,Piacatu,SP,2023,Municipal,259.89,234.29,7.183604,7.2,60,,Anos Iniciais
